site,year,month,value
PAL,2019,11,416.11
PAL,2019,12,418.14
PAL,2020,1,420.15
PAL,2020,2,420.31
PAL,2020,3,420.15
PAL,2020,4,420.54
PAL,2020,5,419.55
PAL,2020,6,412.76
PAL,2020,11,419.78
PAL,2020,12,424.29
PAL,2021,1,425.56
PAL,2021,2,422.52
PAL,2021,3,422.64
PAL,2021,4,423.29
PAL,2021,5,420.86
PAL,2021,6,415.78
PAL,2021,7,408.94
PAL,2021,8,406.33
PAL,2021,9,409.93
PAL,2021,10,417.99
PAL,2021,11,423.68
PAL,2021,12,425.28
PAL,2022,1,425.57
PAL,2022,2,426.28
PAL,2022,3,427.29
PAL,2022,4,426.34
PAL,2022,5,423.87
PAL,2022,6,419.29
PAL,2022,7,412.1
PAL,2022,8,409.51
PAL,2022,9,414.54
PAL,2022,10,421.21
PAL,2022,11,424.12
PAL,2022,12,426.1
